"cohort_month","cohort_index","active_customers","total_customers","retention_percentage"
"2010-12-01 00:00:00","0","885","885","100.00"
"2010-12-01 00:00:00","1","324","885","36.61"
"2010-12-01 00:00:00","2","286","885","32.32"
"2010-12-01 00:00:00","3","340","885","38.42"
"2010-12-01 00:00:00","4","321","885","36.27"
"2010-12-01 00:00:00","5","352","885","39.77"
"2010-12-01 00:00:00","6","321","885","36.27"
"2010-12-01 00:00:00","7","309","885","34.92"
"2010-12-01 00:00:00","8","313","885","35.37"
"2010-12-01 00:00:00","9","350","885","39.55"
"2010-12-01 00:00:00","10","331","885","37.40"
"2010-12-01 00:00:00","11","445","885","50.28"
"2010-12-01 00:00:00","12","235","885","26.55"
"2011-01-01 00:00:00","0","417","417","100.00"
"2011-01-01 00:00:00","1","92","417","22.06"
"2011-01-01 00:00:00","2","111","417","26.62"
"2011-01-01 00:00:00","3","96","417","23.02"
"2011-01-01 00:00:00","4","134","417","32.13"
"2011-01-01 00:00:00","5","120","417","28.78"
"2011-01-01 00:00:00","6","103","417","24.70"
"2011-01-01 00:00:00","7","101","417","24.22"
"2011-01-01 00:00:00","8","125","417","29.98"
"2011-01-01 00:00:00","9","136","417","32.61"
"2011-01-01 00:00:00","10","152","417","36.45"
"2011-01-01 00:00:00","11","49","417","11.75"
"2011-02-01 00:00:00","0","380","380","100.00"
"2011-02-01 00:00:00","1","71","380","18.68"
"2011-02-01 00:00:00","2","71","380","18.68"
"2011-02-01 00:00:00","3","108","380","28.42"
"2011-02-01 00:00:00","4","103","380","27.11"
"2011-02-01 00:00:00","5","94","380","24.74"
"2011-02-01 00:00:00","6","96","380","25.26"
"2011-02-01 00:00:00","7","106","380","27.89"
"2011-02-01 00:00:00","8","94","380","24.74"
"2011-02-01 00:00:00","9","116","380","30.53"
"2011-02-01 00:00:00","10","26","380","6.84"
"2011-03-01 00:00:00","0","452","452","100.00"
"2011-03-01 00:00:00","1","68","452","15.04"
"2011-03-01 00:00:00","2","114","452","25.22"
"2011-03-01 00:00:00","3","90","452","19.91"
"2011-03-01 00:00:00","4","101","452","22.35"
"2011-03-01 00:00:00","5","76","452","16.81"
"2011-03-01 00:00:00","6","121","452","26.77"
"2011-03-01 00:00:00","7","104","452","23.01"
"2011-03-01 00:00:00","8","126","452","27.88"
"2011-03-01 00:00:00","9","39","452","8.63"
"2011-04-01 00:00:00","0","300","300","100.00"
"2011-04-01 00:00:00","1","64","300","21.33"
"2011-04-01 00:00:00","2","61","300","20.33"
"2011-04-01 00:00:00","3","63","300","21.00"
"2011-04-01 00:00:00","4","59","300","19.67"
"2011-04-01 00:00:00","5","68","300","22.67"
"2011-04-01 00:00:00","6","65","300","21.67"
"2011-04-01 00:00:00","7","78","300","26.00"
"2011-04-01 00:00:00","8","22","300","7.33"
"2011-05-01 00:00:00","0","284","284","100.00"
"2011-05-01 00:00:00","1","54","284","19.01"
"2011-05-01 00:00:00","2","49","284","17.25"
"2011-05-01 00:00:00","3","49","284","17.25"
"2011-05-01 00:00:00","4","59","284","20.77"
"2011-05-01 00:00:00","5","66","284","23.24"
"2011-05-01 00:00:00","6","75","284","26.41"
"2011-05-01 00:00:00","7","27","284","9.51"
"2011-06-01 00:00:00","0","242","242","100.00"
"2011-06-01 00:00:00","1","42","242","17.36"
"2011-06-01 00:00:00","2","38","242","15.70"
"2011-06-01 00:00:00","3","64","242","26.45"
"2011-06-01 00:00:00","4","56","242","23.14"
"2011-06-01 00:00:00","5","81","242","33.47"
"2011-06-01 00:00:00","6","23","242","9.50"
"2011-07-01 00:00:00","0","188","188","100.00"
"2011-07-01 00:00:00","1","34","188","18.09"
"2011-07-01 00:00:00","2","39","188","20.74"
"2011-07-01 00:00:00","3","42","188","22.34"
"2011-07-01 00:00:00","4","51","188","27.13"
"2011-07-01 00:00:00","5","21","188","11.17"
"2011-08-01 00:00:00","0","169","169","100.00"
"2011-08-01 00:00:00","1","35","169","20.71"
"2011-08-01 00:00:00","2","42","169","24.85"
"2011-08-01 00:00:00","3","41","169","24.26"
"2011-08-01 00:00:00","4","21","169","12.43"
"2011-09-01 00:00:00","0","299","299","100.00"
"2011-09-01 00:00:00","1","70","299","23.41"
"2011-09-01 00:00:00","2","90","299","30.10"
"2011-09-01 00:00:00","3","34","299","11.37"
"2011-10-01 00:00:00","0","358","358","100.00"
"2011-10-01 00:00:00","1","86","358","24.02"
"2011-10-01 00:00:00","2","41","358","11.45"
"2011-11-01 00:00:00","0","324","324","100.00"
"2011-11-01 00:00:00","1","36","324","11.11"
"2011-12-01 00:00:00","0","41","41","100.00"
